date,type,euro,comment
1.4.2020,entertainment,11.0,
03.04.2020,goods and services,15.3,
03.04.2020,groceries,102.1,
04.04.2020,rent,990.0,
07.04.2020,health care,160.0,
10.04.2020,groceries,127.89,
10.04.2020,goods and services,4.97,
